,frame_number,new_people_count,total_people_in_frame,cumulative,flow,coords
20,20,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [-1, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9649658203125, 260.06414794921875), (2, 73.68622589111328, 180.566162109375), (3, 996.743896484375, 483.63446044921875), (4, 1148.6708984375, 470.44140625), (5, 340.0830078125, 90.02897644042969), (6, 284.29595947265625, 114.0106201171875), (7, 345.69635009765625, 242.7832489013672), (8, 284.0162353515625, 112.45166015625), (9, 148.66909790039062, 67.98497009277344), (10, 841.3114624023438, 410.65673828125), (11, 541.8638305664062, 362.897216796875), (12, 393.2396240234375, 13.851333618164062)]"
21,21,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [-1, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9612426757812, 260.06500244140625), (2, 73.6890640258789, 180.57920837402344), (3, 996.743896484375, 483.63092041015625), (4, 1148.669677734375, 470.4428405761719), (5, 340.08355712890625, 90.02827453613281), (6, 284.294921875, 114.01309204101562), (7, 345.69744873046875, 242.78372192382812), (8, 284.0166015625, 112.45034790039062), (9, 148.66761779785156, 67.98678588867188), (10, 841.3118286132812, 410.65899658203125), (11, 541.7317504882812, 362.77142333984375), (12, 393.240234375, 13.854522705078125)]"
22,22,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [-1, -1], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9599609375, 260.06536865234375), (2, 73.69013977050781, 180.5841064453125), (3, 996.743896484375, 483.6294860839844), (4, 1148.669189453125, 470.44354248046875), (5, 340.08380126953125, 90.02800750732422), (6, 284.2945556640625, 114.01400756835938), (7, 345.69793701171875, 242.7838134765625), (8, 284.0167236328125, 112.4498291015625), (9, 148.66705322265625, 67.98747253417969), (10, 841.31201171875, 410.65985107421875), (11, 541.6826782226562, 362.7239990234375), (12, 393.240478515625, 13.85565185546875)]"
23,23,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [-1, -1], 11), ([0, 0], [0, 0], 12)]","[(1, 904.97802734375, 260.05792236328125), (2, 73.69223022460938, 180.58763122558594), (3, 996.74462890625, 483.6280212402344), (4, 1148.6650390625, 470.44207763671875), (5, 340.0833740234375, 90.02825927734375), (6, 284.295166015625, 114.00873565673828), (7, 345.6962585449219, 242.78265380859375), (8, 284.0154724121094, 112.45269775390625), (9, 148.66847229003906, 67.98649597167969), (10, 841.3125, 410.65618896484375), (11, 541.8963012695312, 362.76812744140625), (12, 393.2388916015625, 13.85546875)]"
24,24,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [-1, -1], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9849243164062, 260.05511474609375), (2, 73.69300842285156, 180.58889770507812), (3, 996.744873046875, 483.62744140625), (4, 1148.663330078125, 470.4416809082031), (5, 340.0832214355469, 90.02835083007812), (6, 284.2953796386719, 114.00674438476562), (7, 345.6956787109375, 242.78219604492188), (8, 284.0150146484375, 112.45376586914062), (9, 148.66900634765625, 67.98612976074219), (10, 841.3126831054688, 410.65484619140625), (11, 541.9781494140625, 362.78533935546875), (12, 393.23828125, 13.855331420898438)]"
25,25,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [1, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9874877929688, 260.0540771484375), (2, 73.69329071044922, 180.58932495117188), (3, 996.744873046875, 483.6271667480469), (4, 1148.662841796875, 470.4414978027344), (5, 340.08319091796875, 90.02836608886719), (6, 284.2955017089844, 114.00598907470703), (7, 345.69549560546875, 242.781982421875), (8, 284.01483154296875, 112.45413208007812), (9, 148.669189453125, 67.98599243164062), (10, 841.312744140625, 410.654296875), (11, 542.0091552734375, 362.7922058105469), (12, 393.238037109375, 13.855209350585938)]"
26,26,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9664306640625, 260.0667724609375), (2, 73.69303894042969, 180.5703125), (3, 996.7449951171875, 483.6311340332031), (4, 1148.66455078125, 470.4437255859375), (5, 340.0833740234375, 90.02810668945312), (6, 284.28082275390625, 114.01300811767578), (7, 345.6980285644531, 242.78363037109375), (8, 284.0158386230469, 112.45189666748047), (9, 148.67068481445312, 67.98500061035156), (10, 841.3135986328125, 410.65948486328125), (11, 541.8161010742188, 362.7361755371094), (12, 393.23675537109375, 13.854293823242188)]"
27,27,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.95849609375, 260.071533203125), (2, 73.69292449951172, 180.56304931640625), (3, 996.7450561523438, 483.63250732421875), (4, 1148.665283203125, 470.44464111328125), (5, 340.08343505859375, 90.02799987792969), (6, 284.27532958984375, 114.01566314697266), (7, 345.69903564453125, 242.78424072265625), (8, 284.0162048339844, 112.45101928710938), (9, 148.67123413085938, 67.98463439941406), (10, 841.3139038085938, 410.661376953125), (11, 541.7432861328125, 362.71527099609375), (12, 393.23626708984375, 13.853897094726562)]"
28,28,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.95556640625, 260.0733642578125), (2, 73.69287109375, 180.56036376953125), (3, 996.7449951171875, 483.633056640625), (4, 1148.66552734375, 470.445068359375), (5, 340.08349609375, 90.02793884277344), (6, 284.2733154296875, 114.01666259765625), (7, 345.69940185546875, 242.78448486328125), (8, 284.016357421875, 112.45068359375), (9, 148.6714324951172, 67.98451232910156), (10, 841.3140258789062, 410.6620788574219), (11, 541.7164306640625, 362.707763671875), (12, 393.236083984375, 13.85369873046875)]"
29,29,0,9,9,"[([1, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9522705078125, 260.0673828125), (2, 73.69192504882812, 180.56475830078125), (3, 996.7440185546875, 483.63385009765625), (4, 1148.6708984375, 470.4466247558594), (5, 340.0834045410156, 90.02835083007812), (6, 284.2735595703125, 114.0093994140625), (7, 345.6997375488281, 242.7838134765625), (8, 284.0155029296875, 112.4495849609375), (9, 148.66990661621094, 67.98660278320312), (10, 841.3125, 410.66363525390625), (11, 541.755859375, 362.72601318359375), (12, 393.2344970703125, 13.856643676757812)]"
